"Campbell Live","Close Up","Seven Sharp","One News","3 News","Date"
155190,392750,NA,485290,330070,2010-02-12
NA,NA,NA,557620,265550,2010-02-13
NA,NA,NA,570290,301170,2010-02-14
309340,454420,NA,592730,393550,2010-02-15
NA,451900,NA,551810,388830,2010-02-16
228270,393720,NA,498130,392700,2010-02-17
187310,432140,NA,532730,351560,2010-02-18
202740,350500,NA,442200,257300,2010-02-19
NA,NA,NA,411290,226230,2010-02-20
NA,NA,NA,437970,281080,2010-02-21
240140,458790,NA,488140,304990,2010-02-22
NA,437260,NA,459840,310600,2010-02-23
NA,440540,NA,501450,271880,2010-02-24
237630,422490,NA,446540,318510,2010-02-25
NA,NA,NA,NA,NA,2010-02-26
NA,NA,NA,NA,NA,2010-02-27
NA,NA,NA,NA,NA,2010-02-28
347350,555020,NA,487510,429480,2010-03-01
285310,603760,NA,488520,365470,2010-03-02
NA,406920,NA,399350,319670,2010-03-03
255390,457830,NA,426030,337050,2010-03-04
NA,479280,NA,391870,283610,2010-03-05
NA,NA,NA,360540,200660,2010-03-06
NA,NA,NA,391870,244100,2010-03-07
284200,521310,NA,486720,370810,2010-03-08
327400,406390,NA,448910,344810,2010-03-09
260160,415290,NA,403490,289630,2010-03-10
NA,NA,NA,NA,NA,2010-03-11
NA,NA,NA,NA,NA,2010-03-12
NA,NA,NA,NA,NA,2010-03-13
NA,NA,NA,NA,NA,2010-03-14
NA,NA,NA,NA,NA,2010-03-15
NA,NA,NA,NA,NA,2010-03-16
NA,NA,NA,NA,NA,2010-03-17
NA,NA,NA,NA,NA,2010-03-18
NA,NA,NA,NA,NA,2010-03-19
NA,NA,NA,NA,NA,2010-03-20
NA,NA,NA,NA,NA,2010-03-21
NA,NA,NA,NA,NA,2010-03-22
NA,NA,NA,NA,NA,2010-03-23
NA,NA,NA,NA,NA,2010-03-24
NA,NA,NA,NA,NA,2010-03-25
NA,NA,NA,NA,NA,2010-03-26
NA,NA,NA,NA,NA,2010-03-27
NA,NA,NA,NA,NA,2010-03-28
NA,NA,NA,NA,NA,2010-03-29
NA,NA,NA,NA,NA,2010-03-30
NA,NA,NA,NA,NA,2010-03-31
NA,NA,NA,NA,NA,2010-04-01
NA,NA,NA,NA,NA,2010-04-02
NA,NA,NA,NA,NA,2010-04-03
NA,NA,NA,NA,NA,2010-04-04
NA,NA,NA,NA,NA,2010-04-05
NA,NA,NA,NA,NA,2010-04-06
NA,NA,NA,NA,NA,2010-04-07
NA,NA,NA,NA,NA,2010-04-08
249940,306620,NA,528040,317160,2010-04-09
NA,NA,NA,NA,NA,2010-04-10
NA,NA,NA,NA,NA,2010-04-11
NA,NA,NA,NA,NA,2010-04-12
NA,NA,NA,NA,NA,2010-04-13
NA,NA,NA,NA,NA,2010-04-14
NA,NA,NA,NA,NA,2010-04-15
NA,NA,NA,NA,NA,2010-04-16
NA,NA,NA,NA,NA,2010-04-17
NA,NA,NA,NA,NA,2010-04-18
